grafo;Sub14;Sub22;Sub34;Sub61;Sub65;Sub76;Sub82;Sub126
Grafo1;1;0;1;1;0;0;0;1
Grafo10;1;1;1;0;1;0;0;0
Grafo11;1;1;1;0;1;0;0;0
Grafo12;1;1;1;0;1;0;0;0
Grafo13;1;1;1;0;1;0;0;0
Grafo14;0;1;0;0;0;0;0;0
Grafo15;1;1;1;0;1;0;0;0
Grafo16;1;0;1;0;1;0;0;0
Grafo17;1;0;1;0;0;0;0;1
Grafo18;0;0;0;0;0;0;0;0
Grafo19;1;0;1;1;1;0;0;0
Grafo2;1;0;1;0;1;0;0;0
Grafo20;1;1;1;0;1;0;0;0
Grafo21;0;0;1;0;1;0;0;0
Grafo3;1;1;0;0;1;1;0;0
Grafo4;1;1;0;0;1;0;0;0
Grafo5;1;0;0;0;1;0;0;0
Grafo6;1;0;1;0;0;0;0;1
Grafo7;1;0;1;1;1;0;0;0
Grafo8;1;0;1;0;1;0;0;0
Grafo9;0;1;1;0;1;0;1;0
